id,sexo,edad,ciudad,colegio,financiamiento,int1,int2,int3,int4,int5,int6,int7,int8,int9,int10,int11,int12,int13,int14,int15,int16,int17,int18,int19,int20,int21,int22,int23,int24,int25,int26,int27,int28,int29
1,hombre,14,lima,colegio1,privado,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5
2,hombre,14,lima,colegio1,privado,4,5,4,4,4,4,5,4,3,4,2,2,4,2,3,4,3,3,3,2,4,4,5,4,3,4,4,3,4
3,hombre,15,lima,colegio1,privado,1,3,2,3,1,3,3,2,2,3,1,1,2,4,1,4,3,1,1,2,4,1,1,1,1,1,1,1,1
4,hombre,15,lima,colegio1,privado,1,3,3,3,1,2,3,4,4,3,2,4,4,4,2,3,3,2,2,3,3,2,5,4,4,1,2,1,2
5,hombre,15,lima,colegio1,privado,2,3,3,4,4,3,4,2,4,3,3,2,2,3,3,4,2,2,5,4,3,2,4,2,1,2,3,2,2
6,hombre,15,lima,colegio1,privado,2,1,1,3,2,4,3,3,1,1,2,1,2,2,3,4,2,4,2,2,1,1,2,1,1,2,3,1,1
7,hombre,15,lima,colegio1,privado,3,4,3,3,2,2,2,2,2,1,1,1,1,3,1,2,4,2,1,1,3,3,2,4,5,5,5,5,4
8,hombre,15,lima,colegio1,privado,3,4,3,4,2,4,4,3,3,3,2,2,4,3,3,3,2,3,4,2,1,1,4,2,1,2,2,2,1
9,hombre,15,lima,colegio1,privado,3,4,5,5,4,4,3,4,3,5,3,2,4,4,5,3,4,4,5,4,2,2,5,2,3,1,1,4,1
10,hombre,15,lima,colegio1,privado,3,3,3,4,4,4,2,2,1,2,2,3,3,3,2,4,2,3,4,3,4,3,5,4,4,4,4,2,3
11,hombre,15,lima,colegio1,privado,3,4,4,2,3,4,2,3,3,3,4,4,3,3,3,4,2,3,3,3,4,4,3,3,2,3,3,4,3
12,hombre,15,lima,colegio1,privado,3,3,3,3,4,4,3,4,3,4,3,3,5,5,4,4,3,3,4,3,3,2,5,1,3,3,3,4,2
13,hombre,15,lima,colegio1,privado,3,4,2,3,3,5,3,4,3,3,3,4,5,5,5,5,5,5,5,3,5,5,5,3,2,3,5,4,5
14,hombre,15,lima,colegio1,privado,3,4,2,5,4,4,1,3,1,1,4,3,4,4,4,4,3,3,4,3,5,3,5,3,3,3,3,2,2
15,hombre,15,lima,colegio1,privado,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4
